	SRR521207	SRR515153	SRR521174	SRR518987	SRR521180	SRR521181	SRR521183	SRR521188	SRR521191	SRR521194	SRR521211	SRR521212	SRR521213	SRR521214	SRR521235	SRR521190	SRR521196	SRR521177	SRR521198	SRR521185	SRR521225	SRR521215	SRR521221	SRR521242	SRR521203	SRR521219	SRR521197	SRR521227	SRR521247	SRR521172	SRR521173	SRR521232	SRR521220	SRR521259	SRR521244	SRR521176	SRR521195	SRR521209	SRR521192	SRR521189	SRR521175	SRR521200	SRR521251	SRR521253	SRR521216	SRR521230	SRR521234	SRR521236	SRR521239	SRR521241	SRR521243	SRR521249	SRR521258	SRR521264	SRR521265	SRR521222	SRR521182	SRR521187	SRR521205	SRR521226	SRR521250	SRR521199	SRR521233	SRR521245	SRR521179	SRR521237	SRR521204	SRR521184	SRR521255	SRR521178	SRR521186	SRR521252	SRR521217	SRR521246	SRR521193	SRR521202	SRR521224	SRR521257	SRR521208	SRR521223	SRR521256	SRR521231	SRR521248	SRR521240	SRR521238	SRR521260	SRR521262	SRR521229	SRR521254	SRR521261	SRR521201	SRR521206	SRR521263
SRR521247	0.4975	0.21625	0.2175	0.255	0.36625	0.63625	0.26375	0.33875	0.4325	0.23	0.335	0.32	0.48125	0.2475	0.23875	0.33625	0.34	0.25625	0.34125	0.28	0.46125	0.4725	0.4225	0.16375	0.265	0.35	0.335	0.4925	0.0	0.2675	0.39375	0.10125	0.41875	0.115	0.1075	0.4225	0.335	0.06875	0.1925	0.4525	0.345	0.29375	0.09375	0.0575	0.12625	0.40625	0.13375	0.0525	0.08125	0.0625	0.07875	0.31625	0.095	0.14125	0.09	0.31125	0.305	0.15625	0.44625	0.43875	0.2275	0.32625	0.335	0.1075	0.1725	0.06875	0.10125	0.2175	0.13	0.27375	0.27375	0.295	0.13125	0.08875	0.3375	0.10875	0.1125	0.10125	0.08	0.1	0.05375	0.115	0.10875	0.13625	0.1225	0.0975	0.08625	0.105	0.21625	0.10375	0.12125	0.10625	0.14625
SRR521172	0.24375	0.10625	0.16	0.08875	0.13625	0.38	0.09375	0.13	0.185	0.12125	0.12	0.09125	0.2425	0.12375	0.1525	0.125	0.10375	0.1075	0.095	0.07375	0.22125	0.27125	0.2175	0.285	0.0575	0.12875	0.1175	0.2425	0.2675	0.0	0.15125	0.3125	0.195	0.3175	0.3275	0.2025	0.1375	0.29375	0.19125	0.2075	0.12625	0.09875	0.30625	0.26875	0.29875	0.2425	0.34	0.26125	0.28875	0.2625	0.25625	0.30375	0.3	0.20375	0.315	0.11625	0.075	0.17375	0.20625	0.19375	0.1425	0.12625	0.32125	0.2175	0.15875	0.285	0.335	0.1275	0.2675	0.09375	0.0725	0.15375	0.34375	0.28375	0.1125	0.30875	0.3275	0.25875	0.31	0.32625	0.25625	0.33375	0.32875	0.33625	0.3325	0.31125	0.3075	0.30875	0.22	0.31625	0.3325	0.30875	0.17625
SRR521173	0.1675	0.21	0.2425	0.18	0.075	0.28	0.18875	0.15	0.08125	0.23	0.13375	0.10875	0.17625	0.245	0.26875	0.1325	0.12375	0.1825	0.135	0.14	0.11875	0.15875	0.13125	0.405	0.15625	0.10375	0.13	0.1375	0.39375	0.15125	0.0	0.42875	0.17875	0.42375	0.43375	0.10625	0.11	0.40875	0.28	0.115	0.08375	0.15125	0.42	0.38625	0.405	0.2175	0.455	0.38375	0.3925	0.3725	0.36	0.345	0.41125	0.32375	0.42375	0.22125	0.1225	0.29625	0.1375	0.075	0.2375	0.11	0.33625	0.33375	0.25125	0.39125	0.45	0.22875	0.39	0.1825	0.165	0.22625	0.44875	0.4	0.13625	0.4125	0.43625	0.37	0.42375	0.4425	0.375	0.44	0.4325	0.44125	0.4425	0.4125	0.42625	0.4225	0.3275	0.42875	0.4375	0.41125	0.2925
SRR521232	0.54	0.2525	0.24875	0.26875	0.39625	0.63875	0.29	0.35875	0.47375	0.2575	0.3425	0.35625	0.525	0.28375	0.29875	0.37125	0.37375	0.27625	0.3825	0.31125	0.47	0.48375	0.4375	0.18875	0.31125	0.39875	0.3725	0.51875	0.10125	0.3125	0.42875	0.0	0.465	0.115	0.1	0.4425	0.365	0.1075	0.185	0.505	0.37625	0.325	0.0725	0.08875	0.12375	0.46375	0.16125	0.13625	0.1	0.0925	0.1025	0.33375	0.0975	0.175	0.08	0.3575	0.34125	0.20875	0.48625	0.4775	0.2525	0.355	0.36625	0.1325	0.2025	0.10875	0.14125	0.225	0.19375	0.29125	0.27625	0.36125	0.1175	0.15125	0.3425	0.10875	0.12375	0.13125	0.10625	0.13625	0.1025	0.11625	0.11125	0.1325	0.12875	0.095	0.095	0.13875	0.21875	0.10375	0.1325	0.12	0.2
SRR521220	0.21875	0.2625	0.29	0.27	0.17625	0.34	0.225	0.195	0.18875	0.27	0.19	0.16	0.13	0.18625	0.27875	0.18875	0.15875	0.2575	0.135	0.24375	0.19	0.255	0.19125	0.43125	0.205	0.15	0.21125	0.22875	0.41875	0.195	0.17875	0.465	0.0	0.4625	0.47125	0.20375	0.1925	0.445	0.35	0.20125	0.17625	0.21375	0.4475	0.4275	0.45625	0.265	0.46625	0.39625	0.4425	0.42125	0.41125	0.385	0.455	0.35625	0.45625	0.14625	0.1725	0.26875	0.175	0.1925	0.3	0.1875	0.37	0.36875	0.32	0.44125	0.47375	0.28875	0.40875	0.2325	0.25375	0.25625	0.48875	0.40875	0.19375	0.46875	0.47625	0.4175	0.45875	0.47125	0.41125	0.47625	0.465	0.48625	0.47875	0.465	0.465	0.4625	0.37375	0.475	0.4775	0.46375	0.33625
SRR521259	0.545	0.2575	0.24625	0.28125	0.39	0.64625	0.29375	0.35625	0.475	0.25875	0.36	0.355	0.52375	0.2825	0.3	0.36	0.36375	0.2675	0.37375	0.30625	0.4875	0.505	0.45125	0.225	0.31	0.395	0.375	0.53	0.115	0.3175	0.42375	0.115	0.4625	0.0	0.0325	0.45375	0.365	0.06375	0.1875	0.5	0.37375	0.32	0.115	0.0825	0.15875	0.49125	0.06875	0.1025	0.0925	0.1375	0.09375	0.39	0.07625	0.23125	0.05125	0.355	0.34375	0.20625	0.48625	0.47125	0.25125	0.36625	0.42	0.135	0.19875	0.08625	0.06	0.22375	0.19625	0.2825	0.28375	0.3625	0.06625	0.125	0.36	0.045	0.04	0.175	0.07625	0.06625	0.10125	0.035	0.02	0.0325	0.0375	0.0525	0.06875	0.04875	0.27	0.05375	0.04125	0.0475	0.20375
SRR521244	0.54625	0.2625	0.25625	0.2775	0.40125	0.6625	0.29625	0.3675	0.485	0.2625	0.36125	0.36625	0.53125	0.29	0.30625	0.37625	0.37875	0.27875	0.38875	0.31625	0.4875	0.50875	0.45	0.22	0.32125	0.405	0.38	0.5325	0.1075	0.3275	0.43375	0.1	0.47125	0.0325	0.0	0.45625	0.36625	0.06375	0.2025	0.51375	0.38125	0.33375	0.10375	0.0825	0.15125	0.48625	0.0725	0.10625	0.08625	0.125	0.09375	0.3825	0.07625	0.2175	0.0475	0.3625	0.35125	0.215	0.495	0.485	0.2575	0.36625	0.40875	0.14875	0.20875	0.0725	0.05125	0.23625	0.2025	0.2975	0.29625	0.3675	0.06	0.12625	0.3675	0.04375	0.0425	0.17375	0.07	0.05	0.105	0.03125	0.03625	0.0425	0.04375	0.05	0.0525	0.05375	0.275	0.03875	0.04875	0.05375	0.2175
SRR521176	0.185	0.255	0.265	0.23375	0.1375	0.3	0.205	0.1775	0.12875	0.29625	0.15375	0.15875	0.14125	0.29375	0.3075	0.16375	0.155	0.21125	0.17125	0.21125	0.12625	0.15375	0.11625	0.4225	0.1875	0.1625	0.1775	0.09625	0.4225	0.2025	0.10625	0.4425	0.20375	0.45375	0.45625	0.0	0.13	0.44	0.31625	0.13625	0.11625	0.19125	0.45125	0.40625	0.42625	0.21375	0.49	0.41625	0.41375	0.39125	0.38375	0.365	0.44125	0.34375	0.4325	0.26375	0.14875	0.345	0.14875	0.1025	0.2675	0.1225	0.355	0.36125	0.30125	0.42375	0.4775	0.26875	0.425	0.21	0.21625	0.27375	0.48125	0.44	0.1825	0.4525	0.46875	0.40875	0.45125	0.46875	0.405	0.46125	0.4625	0.4725	0.475	0.4375	0.44375	0.45875	0.35625	0.45	0.47125	0.45	0.32
SRR521195	0.23	0.17625	0.20875	0.16875	0.11375	0.33125	0.13875	0.1275	0.1675	0.2175	0.1275	0.0975	0.2025	0.21875	0.21	0.11625	0.11	0.16	0.1225	0.15625	0.185	0.21	0.17625	0.33875	0.13625	0.125	0.1175	0.19125	0.335	0.1375	0.11	0.365	0.1925	0.365	0.36625	0.13	0.0	0.3525	0.25375	0.185	0.0625	0.1325	0.36125	0.325	0.35625	0.215	0.39875	0.325	0.3425	0.325	0.3075	0.30625	0.36625	0.25375	0.35375	0.1775	0.07625	0.26875	0.1875	0.1475	0.195	0.0625	0.31625	0.275	0.225	0.34125	0.38375	0.195	0.33125	0.1625	0.1575	0.18125	0.395	0.34375	0.1375	0.3725	0.3825	0.32875	0.36375	0.375	0.3175	0.375	0.375	0.38875	0.38625	0.36375	0.36875	0.37125	0.27875	0.36875	0.38375	0.3725	0.24125
SRR521209	0.5225	0.23375	0.2375	0.26	0.37375	0.645	0.27875	0.34625	0.4525	0.23375	0.35	0.33375	0.5075	0.26	0.26125	0.34875	0.35	0.25625	0.3575	0.2925	0.47375	0.49	0.4375	0.185	0.28625	0.35625	0.35875	0.51625	0.06875	0.29375	0.40875	0.1075	0.445	0.06375	0.06375	0.44	0.3525	0.0	0.19125	0.48	0.36125	0.30875	0.10375	0.05625	0.11375	0.44625	0.09625	0.06625	0.0675	0.09125	0.08125	0.34125	0.06375	0.1875	0.0625	0.3375	0.32375	0.1825	0.4675	0.4625	0.24	0.35125	0.37	0.11625	0.1825	0.06125	0.0575	0.22375	0.15125	0.2775	0.28	0.31875	0.09	0.08375	0.3475	0.05625	0.065	0.13125	0.03125	0.05625	0.06625	0.07	0.0625	0.0825	0.07	0.0575	0.0625	0.0775	0.23625	0.06875	0.07	0.05625	0.17125
SRR521192	0.4075	0.1225	0.10125	0.13875	0.255	0.49625	0.15125	0.19875	0.3325	0.13125	0.2225	0.22625	0.4075	0.18125	0.225	0.22375	0.2275	0.11875	0.24375	0.175	0.36	0.38	0.3125	0.205	0.18	0.2575	0.22875	0.39625	0.1925	0.19125	0.28	0.185	0.35	0.1875	0.2025	0.31625	0.25375	0.19125	0.0	0.35625	0.24875	0.16125	0.17625	0.17	0.2025	0.38375	0.23875	0.185	0.19	0.17625	0.1425	0.3225	0.17125	0.16375	0.17625	0.24	0.215	0.12625	0.36625	0.33375	0.10375	0.23375	0.35875	0.13	0.07	0.19375	0.2375	0.0775	0.18875	0.1275	0.13625	0.2825	0.2	0.185	0.20875	0.18875	0.21875	0.18	0.20375	0.23125	0.1625	0.21375	0.195	0.20625	0.21625	0.18625	0.2175	0.2075	0.19125	0.215	0.215	0.1975	0.11875
SRR521189	0.09	0.29125	0.3125	0.275	0.1275	0.195	0.245	0.21375	0.09375	0.31125	0.1825	0.17125	0.15625	0.2875	0.3275	0.15625	0.17	0.25625	0.17125	0.20625	0.09375	0.1	0.0925	0.4675	0.21125	0.1675	0.16375	0.12125	0.4525	0.2075	0.115	0.505	0.20125	0.5	0.51375	0.13625	0.185	0.48	0.35625	0.0	0.1525	0.22	0.49125	0.45375	0.4775	0.2025	0.5225	0.43875	0.46125	0.44	0.44625	0.41375	0.48	0.38125	0.49125	0.2575	0.1775	0.33375	0.0625	0.065	0.32	0.1725	0.39625	0.395	0.3475	0.46625	0.515	0.30625	0.44875	0.24	0.25125	0.27375	0.53125	0.46	0.21375	0.4875	0.515	0.43625	0.49375	0.5075	0.44	0.51875	0.50875	0.5225	0.52125	0.49	0.4975	0.4925	0.38375	0.5075	0.51625	0.48375	0.345
SRR521175	0.20125	0.18125	0.2025	0.1575	0.0725	0.31875	0.1275	0.09875	0.14	0.2	0.0925	0.0675	0.1825	0.1875	0.21375	0.0775	0.07625	0.13875	0.08625	0.13875	0.1475	0.18	0.145	0.355	0.11125	0.0925	0.1	0.1675	0.345	0.12625	0.08375	0.37625	0.17625	0.37375	0.38125	0.11625	0.0625	0.36125	0.24875	0.1525	0.0	0.115	0.36625	0.335	0.3725	0.2425	0.40125	0.33125	0.3575	0.34	0.31625	0.31625	0.37375	0.275	0.36375	0.1675	0.07875	0.2475	0.16	0.12	0.2125	0.0625	0.345	0.2875	0.22875	0.35625	0.395	0.185	0.34125	0.13875	0.15375	0.19625	0.4	0.3425	0.115	0.385	0.3925	0.34375	0.375	0.38875	0.3275	0.38875	0.38125	0.395	0.39375	0.375	0.3825	0.38	0.29875	0.3825	0.3925	0.3825	0.255
SRR521200	0.26875	0.12	0.125	0.115	0.1275	0.38875	0.0875	0.08	0.19375	0.145	0.13625	0.0925	0.27375	0.16	0.17	0.09625	0.115	0.11125	0.1325	0.1225	0.2375	0.26125	0.2	0.30875	0.10125	0.1275	0.12125	0.255	0.29375	0.09875	0.15125	0.325	0.21375	0.32	0.33375	0.19125	0.1325	0.30875	0.16125	0.22	0.115	0.0	0.3175	0.2825	0.3125	0.27875	0.35125	0.28125	0.2975	0.28625	0.2525	0.31625	0.30875	0.2575	0.31	0.155	0.08375	0.21875	0.2275	0.20125	0.1575	0.105	0.355	0.26625	0.17125	0.3	0.345	0.15625	0.2975	0.0825	0.1175	0.19875	0.34625	0.2925	0.1325	0.31875	0.335	0.28875	0.32125	0.33875	0.28875	0.3375	0.33	0.33875	0.34125	0.31625	0.325	0.32125	0.25125	0.3275	0.33625	0.3175	0.23
SRR521251	0.53375	0.23875	0.245	0.27	0.38	0.6325	0.285	0.35375	0.46375	0.24875	0.34375	0.34375	0.50875	0.2625	0.27375	0.3525	0.35875	0.26125	0.36875	0.3	0.4775	0.4875	0.4325	0.20375	0.29625	0.38125	0.365	0.52375	0.09375	0.30625	0.42	0.0725	0.4475	0.115	0.10375	0.45125	0.36125	0.10375	0.17625	0.49125	0.36625	0.3175	0.0	0.08875	0.15375	0.46375	0.14875	0.115	0.105	0.1075	0.105	0.3625	0.0825	0.1825	0.08625	0.34	0.33625	0.18875	0.47875	0.46875	0.24625	0.3575	0.37625	0.1075	0.18875	0.115	0.13375	0.20875	0.1725	0.28	0.26625	0.3325	0.11	0.1325	0.33875	0.1	0.12125	0.1325	0.10875	0.13375	0.08	0.12	0.105	0.1275	0.125	0.10875	0.12375	0.13125	0.21875	0.13	0.12375	0.1125	0.1925
SRR521253	0.48875	0.21	0.20875	0.23	0.35125	0.6225	0.24875	0.32	0.42875	0.21375	0.32375	0.3075	0.49	0.2425	0.255	0.325	0.33	0.2375	0.33375	0.26875	0.4475	0.46125	0.40875	0.17125	0.26	0.34875	0.33125	0.48125	0.0575	0.26875	0.38625	0.08875	0.4275	0.0825	0.0825	0.40625	0.325	0.05625	0.17	0.45375	0.335	0.2825	0.08875	0.0	0.1125	0.415	0.12	0.07625	0.0475	0.08125	0.04625	0.31625	0.06875	0.1625	0.065	0.32	0.2975	0.1675	0.43875	0.435	0.2125	0.31625	0.35625	0.10625	0.15875	0.06125	0.10125	0.205	0.155	0.2525	0.26125	0.325	0.11375	0.09625	0.3225	0.07875	0.08875	0.1225	0.06125	0.09125	0.06625	0.08875	0.08875	0.11125	0.10125	0.07	0.07125	0.09375	0.23	0.0725	0.1	0.0775	0.14875
SRR521216	0.51125	0.245	0.24125	0.2575	0.38375	0.64	0.28625	0.355	0.4575	0.24375	0.3425	0.33875	0.52	0.2725	0.24125	0.36	0.36125	0.2725	0.36375	0.29125	0.45	0.46125	0.425	0.12125	0.2925	0.35375	0.3675	0.50125	0.12625	0.29875	0.405	0.12375	0.45625	0.15875	0.15125	0.42625	0.35625	0.11375	0.2025	0.4775	0.3725	0.3125	0.15375	0.1125	0.0	0.38625	0.19125	0.13875	0.10375	0.08375	0.135	0.27125	0.13375	0.17125	0.14625	0.35	0.3275	0.195	0.47	0.46375	0.2425	0.3275	0.30125	0.14	0.19125	0.12375	0.14625	0.24125	0.1325	0.28375	0.28125	0.2975	0.1825	0.12375	0.35375	0.135	0.155	0.09625	0.09625	0.1225	0.12	0.15375	0.15625	0.1775	0.16375	0.12125	0.12125	0.16625	0.1875	0.13125	0.16375	0.12375	0.155
SRR521230	0.245	0.2975	0.33625	0.29125	0.2125	0.365	0.27	0.25375	0.195	0.34125	0.2275	0.25125	0.26375	0.33375	0.22375	0.2275	0.2275	0.28875	0.22875	0.24875	0.215	0.2275	0.20125	0.33125	0.24	0.23	0.20875	0.22875	0.40625	0.2425	0.2175	0.46375	0.265	0.49125	0.48625	0.21375	0.215	0.44625	0.38375	0.2025	0.2425	0.27875	0.46375	0.415	0.38625	0.0	0.51375	0.4125	0.4425	0.4	0.41875	0.2525	0.47375	0.31125	0.47125	0.30125	0.22	0.37625	0.2	0.20875	0.3225	0.23625	0.23375	0.37625	0.34875	0.4475	0.48	0.33125	0.3425	0.295	0.27625	0.165	0.51875	0.4	0.24625	0.485	0.4975	0.39625	0.4425	0.4525	0.40625	0.4975	0.49625	0.5175	0.5075	0.47625	0.4575	0.48375	0.305	0.46875	0.5075	0.485	0.3025
SRR521234	0.56875	0.285	0.28625	0.31375	0.42875	0.6975	0.325	0.3975	0.50125	0.28625	0.40625	0.38125	0.5275	0.28625	0.30625	0.385	0.39375	0.30875	0.40375	0.33875	0.52625	0.55125	0.49375	0.24375	0.335	0.42375	0.4025	0.5575	0.13375	0.34	0.455	0.16125	0.46625	0.06875	0.0725	0.49	0.39875	0.09625	0.23875	0.5225	0.40125	0.35125	0.14875	0.12	0.19125	0.51375	0.0	0.12125	0.12125	0.17625	0.12875	0.41375	0.115	0.2525	0.10375	0.36	0.375	0.21	0.52125	0.5	0.29125	0.395	0.44875	0.1775	0.23	0.1075	0.05875	0.27	0.21125	0.32875	0.3325	0.36375	0.1075	0.12875	0.40875	0.0875	0.0475	0.20375	0.105	0.0825	0.14375	0.0525	0.06125	0.055	0.05	0.105	0.09	0.04625	0.32125	0.08	0.03875	0.09125	0.22875
SRR521236	0.48875	0.21	0.21	0.25125	0.35125	0.62125	0.255	0.32625	0.4225	0.22	0.32875	0.31375	0.46125	0.225	0.22	0.31625	0.32375	0.24375	0.325	0.27125	0.4525	0.4675	0.415	0.1775	0.2575	0.335	0.32125	0.4825	0.0525	0.26125	0.38375	0.13625	0.39625	0.1025	0.10625	0.41625	0.325	0.06625	0.185	0.43875	0.33125	0.28125	0.115	0.07625	0.13875	0.4125	0.12125	0.0	0.08625	0.08875	0.075	0.325	0.09125	0.16	0.09625	0.29	0.30125	0.14	0.435	0.42625	0.225	0.31625	0.3475	0.10375	0.16875	0.08	0.09	0.20375	0.13	0.265	0.26625	0.27625	0.12625	0.055	0.32875	0.105	0.11125	0.12125	0.07875	0.0875	0.07125	0.11125	0.10625	0.12375	0.115	0.10125	0.1	0.1025	0.22625	0.11125	0.115	0.10125	0.145
SRR521239	0.49625	0.2325	0.23	0.24625	0.3725	0.62875	0.2725	0.3425	0.44625	0.2325	0.3325	0.32375	0.5075	0.25875	0.275	0.3425	0.345	0.25875	0.34875	0.27875	0.4475	0.45875	0.415	0.1875	0.2775	0.36	0.35375	0.485	0.08125	0.28875	0.3925	0.1	0.4425	0.0925	0.08625	0.41375	0.3425	0.0675	0.19	0.46125	0.3575	0.2975	0.105	0.0475	0.10375	0.4425	0.12125	0.08625	0.0	0.085	0.06375	0.325	0.0725	0.19125	0.0775	0.33625	0.3125	0.18375	0.45375	0.4475	0.23	0.3175	0.3725	0.1275	0.18	0.05125	0.095	0.23	0.1725	0.26875	0.27125	0.34	0.11875	0.10375	0.345	0.07	0.09375	0.13375	0.07	0.0875	0.09375	0.09125	0.0925	0.1125	0.105	0.05875	0.06875	0.10125	0.25125	0.07375	0.10375	0.07375	0.17
SRR521241	0.47875	0.21125	0.2025	0.23	0.3475	0.61	0.255	0.325	0.42375	0.22125	0.305	0.31	0.48375	0.24875	0.24	0.33	0.33	0.24125	0.33125	0.25625	0.425	0.4375	0.39125	0.145	0.25625	0.33375	0.32875	0.4675	0.0625	0.2625	0.3725	0.0925	0.42125	0.1375	0.125	0.39125	0.325	0.09125	0.17625	0.44	0.34	0.28625	0.1075	0.08125	0.08375	0.4	0.17625	0.08875	0.085	0.0	0.10375	0.28625	0.11	0.14375	0.11	0.31375	0.2925	0.16	0.435	0.4275	0.205	0.30125	0.31125	0.095	0.16	0.09375	0.1325	0.20375	0.12875	0.25125	0.2475	0.29625	0.15375	0.12625	0.3175	0.12125	0.1375	0.08875	0.1025	0.1275	0.06875	0.13375	0.135	0.1575	0.1425	0.10375	0.10125	0.1425	0.19125	0.12	0.145	0.11875	0.13875
SRR521243	0.47625	0.18125	0.1825	0.2075	0.345	0.61	0.22125	0.28875	0.405	0.19	0.3125	0.29625	0.47125	0.23125	0.25375	0.30875	0.30875	0.20875	0.325	0.25375	0.435	0.4525	0.4025	0.19	0.24875	0.335	0.30375	0.46	0.07875	0.25625	0.36	0.1025	0.41125	0.09375	0.09375	0.38375	0.3075	0.08125	0.1425	0.44625	0.31625	0.2525	0.105	0.04625	0.135	0.41875	0.12875	0.075	0.06375	0.10375	0.0	0.32875	0.09	0.1675	0.075	0.30375	0.285	0.155	0.43125	0.40625	0.1875	0.29375	0.36625	0.1075	0.13375	0.07875	0.11375	0.17875	0.16375	0.23	0.23875	0.31125	0.12125	0.0925	0.30125	0.09875	0.10625	0.14375	0.09125	0.105	0.08625	0.09875	0.10125	0.11375	0.1125	0.08375	0.095	0.105	0.24625	0.09375	0.1125	0.09875	0.15625
SRR521249	0.45	0.30875	0.30625	0.3025	0.31875	0.5875	0.3075	0.315	0.39125	0.3175	0.2925	0.3075	0.4475	0.34375	0.24	0.3225	0.31625	0.3175	0.3075	0.31125	0.40375	0.415	0.37	0.185	0.3025	0.29	0.30875	0.43625	0.31625	0.30375	0.345	0.33375	0.385	0.39	0.3825	0.365	0.30625	0.34125	0.3225	0.41375	0.31625	0.31625	0.3625	0.31625	0.27125	0.2525	0.41375	0.325	0.325	0.28625	0.32875	0.0	0.365	0.27	0.36125	0.33375	0.29875	0.3325	0.40125	0.395	0.30375	0.29375	0.10625	0.31	0.31375	0.34625	0.37625	0.3175	0.22375	0.30875	0.3125	0.2575	0.4175	0.3175	0.29625	0.37875	0.39125	0.295	0.335	0.3525	0.3175	0.3875	0.39	0.415	0.39875	0.3675	0.3525	0.3875	0.2275	0.35625	0.40125	0.3775	0.26875
SRR521258	0.52625	0.24875	0.24125	0.26625	0.3775	0.615	0.29125	0.35125	0.45625	0.2525	0.3425	0.33625	0.51875	0.27125	0.28875	0.355	0.35875	0.2675	0.36125	0.295	0.47125	0.4775	0.43	0.205	0.29125	0.375	0.37	0.5175	0.095	0.3	0.41125	0.0975	0.455	0.07625	0.07625	0.44125	0.36625	0.06375	0.17125	0.48	0.37375	0.30875	0.0825	0.06875	0.13375	0.47375	0.115	0.09125	0.0725	0.11	0.09	0.365	0.0	0.2075	0.06375	0.34875	0.33	0.195	0.4725	0.46375	0.2425	0.35375	0.39	0.12	0.19	0.075	0.09875	0.21625	0.18	0.2725	0.25875	0.34625	0.06625	0.10875	0.33625	0.05	0.08125	0.14875	0.065	0.095	0.0875	0.08625	0.07375	0.08875	0.08625	0.065	0.08125	0.09	0.22	0.09	0.09125	0.05875	0.18125
SRR521264	0.42	0.16875	0.1775	0.18875	0.295	0.55125	0.205	0.2775	0.355	0.1925	0.26	0.2625	0.40625	0.2175	0.215	0.26875	0.26	0.18625	0.26125	0.205	0.385	0.3975	0.345	0.16	0.19	0.3	0.25	0.40625	0.14125	0.20375	0.32375	0.175	0.35625	0.23125	0.2175	0.34375	0.25375	0.1875	0.16375	0.38125	0.275	0.2575	0.1825	0.1625	0.17125	0.31125	0.2525	0.16	0.19125	0.14375	0.1675	0.27	0.2075	0.0	0.2	0.26	0.22625	0.16375	0.36875	0.36375	0.16375	0.26625	0.24375	0.12125	0.15125	0.1775	0.225	0.15375	0.1675	0.22625	0.2025	0.22	0.2475	0.19375	0.275	0.2225	0.22875	0.1125	0.195	0.2225	0.14875	0.22875	0.2275	0.25375	0.2375	0.215	0.2	0.22875	0.14375	0.21125	0.24	0.22375	0.08375
SRR521265	0.5325	0.25125	0.23	0.2675	0.38625	0.6325	0.27625	0.3425	0.47375	0.25375	0.33375	0.35375	0.5175	0.27625	0.29	0.35125	0.35625	0.26	0.3675	0.30625	0.46375	0.48125	0.425	0.20375	0.30875	0.395	0.36	0.515	0.09	0.315	0.42375	0.08	0.45625	0.05125	0.0475	0.4325	0.35375	0.0625	0.17625	0.49125	0.36375	0.31	0.08625	0.065	0.14625	0.47125	0.10375	0.09625	0.0775	0.11	0.075	0.36125	0.06375	0.2	0.0	0.35	0.3325	0.20125	0.47875	0.46625	0.23875	0.34875	0.38875	0.125	0.19875	0.0625	0.09125	0.2125	0.1875	0.275	0.27875	0.35375	0.07125	0.11875	0.3475	0.06	0.0775	0.15625	0.0675	0.08625	0.09625	0.0625	0.055	0.07875	0.07625	0.04625	0.065	0.08625	0.24375	0.075	0.08375	0.06875	0.19875
SRR521222	0.27125	0.1525	0.18	0.16625	0.1925	0.39625	0.13375	0.1625	0.245	0.1625	0.15625	0.13375	0.22375	0.07875	0.19375	0.16375	0.12375	0.15375	0.1075	0.14	0.24875	0.315	0.25125	0.32625	0.11875	0.15875	0.16875	0.28	0.31125	0.11625	0.22125	0.3575	0.14625	0.355	0.3625	0.26375	0.1775	0.3375	0.24	0.2575	0.1675	0.155	0.34	0.32	0.35	0.30125	0.36	0.29	0.33625	0.31375	0.30375	0.33375	0.34875	0.26	0.35	0.0	0.135	0.1625	0.22875	0.24875	0.195	0.1725	0.355	0.26875	0.21625	0.3325	0.36625	0.18625	0.30125	0.13	0.1525	0.18125	0.38125	0.3025	0.16375	0.36125	0.36875	0.31125	0.3525	0.36375	0.30875	0.36875	0.3575	0.37875	0.37	0.3575	0.3575	0.3525	0.27125	0.36625	0.36875	0.3575	0.23625
SRR521182	0.22375	0.13375	0.1775	0.12	0.0925	0.34125	0.11125	0.10375	0.16	0.17	0.0925	0.06	0.2225	0.1725	0.18875	0.085	0.0725	0.12375	0.085	0.1	0.1875	0.22125	0.165	0.3175	0.08125	0.10625	0.0925	0.21	0.305	0.075	0.1225	0.34125	0.1725	0.34375	0.35125	0.14875	0.07625	0.32375	0.215	0.1775	0.07875	0.08375	0.33625	0.2975	0.3275	0.22	0.375	0.30125	0.3125	0.2925	0.285	0.29875	0.33	0.22625	0.3325	0.135	0.0	0.2225	0.1775	0.16125	0.15	0.08125	0.30625	0.24625	0.19	0.315	0.3625	0.1525	0.30625	0.10875	0.1075	0.1575	0.37375	0.32125	0.105	0.34125	0.35875	0.29375	0.33875	0.3575	0.2875	0.3575	0.3525	0.36625	0.36375	0.335	0.34125	0.3425	0.2425	0.345	0.36125	0.33875	0.2075
SRR521187	0.37625	0.14125	0.1475	0.18875	0.26625	0.50625	0.1875	0.24875	0.32375	0.12625	0.24125	0.21625	0.32625	0.1075	0.2075	0.2425	0.22875	0.17	0.21	0.185	0.3375	0.39125	0.335	0.2	0.1675	0.24875	0.25625	0.3775	0.15625	0.17375	0.29625	0.20875	0.26875	0.20625	0.215	0.345	0.26875	0.1825	0.12625	0.33375	0.2475	0.21875	0.18875	0.1675	0.195	0.37625	0.21	0.14	0.18375	0.16	0.155	0.3325	0.195	0.16375	0.20125	0.1625	0.2225	0.0	0.32375	0.33375	0.165	0.255	0.3625	0.12	0.1125	0.18875	0.21125	0.13125	0.14625	0.18	0.19875	0.2525	0.2325	0.15	0.23875	0.21	0.22	0.15375	0.19875	0.20875	0.1575	0.22125	0.21125	0.23	0.2225	0.21	0.21	0.205	0.235	0.21875	0.22	0.20375	0.11125
